frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:56:54.362094,454.0,car,[121.3410455736315 37.092996960047685 742.587540284695 663.6002795554414],[351.978515625 469.06439208984375 539.0430908203125 596.6658325195312],0.33566248416900635,PEC-11-68,0.8102772193672128
2023-11-22 19:56:55.210692,454.0,car,[109.99177780374623 22.56222747375017 747.8688415887268 678.0487496172968],[351.985595703125 469.0604553222656 539.052734375 596.6672973632812],0.3354763388633728,PEC-11-68,0.8102772193672128
2023-11-22 19:56:56.001203,454.0,car,[127.5038251336851 11.363285737378533 799.7892350927184 691.9630196625151],[376.897216796875 466.0455322265625 571.3187866210938 583.3401489257812],0.6844956278800964,8630-BUUU8,0.10277613145492684
2023-11-22 19:56:56.662552,454.0,truck,[129.19080405266067 3.711106871370987 824.2105308662403 699.9125343925737],[376.913330078125 465.9619445800781 571.369873046875 583.3550415039062],0.6851430535316467,NDB-70-64,0.5551381421240161
2023-11-22 19:56:57.334206,454.0,truck,[125.9249204334779 -6.569453244380497 835.767429159421 689.9690436136158],[376.9829406738281 466.0585632324219 571.2960205078125 583.34228515625],0.6851514577865601,8630-BUUUE,0.17182765138277836
2023-11-22 19:56:58.067655,454.0,car,[167.28718163543545 -50.85159396394505 928.1436208589885 508.61981069943107],[347.68316650390625 116.32040405273438 509.4815673828125 237.93846130371094],0.5710243582725525,PAX-60-94,0.9456386044240646
2023-11-22 19:56:58.625438,454.0,car,[183.4532161371867 -55.801144518200516 961.9614898471709 427.96315224397677],[347.69573974609375 116.32887268066406 509.4956359863281 237.93255615234375],0.5709341168403625,PAX-60-94,0.9538856027492133
2023-11-22 19:56:59.146934,454.0,car,[190.61439854739797 -48.23214158389189 972.8149578636721 388.3484419760232],[347.7030029296875 116.32383728027344 509.5030517578125 237.93040466308594],0.5710195899009705,PAX-60-94,0.9538856027492133
2023-11-22 19:57:03.484125,454.0,car,[23.893633739071277 34.86487626436502 869.4912468881928 569.9662365805057],[215.23512268066406 234.4390869140625 395.129638671875 352.5271911621094],0.5942379832267761,MX-79-0,0.5545227215762589
2023-11-22 19:57:04.071929,454.0,car,[10.650309743292269 39.29487820947509 852.9421921425702 610.8950198482572],[215.2038116455078 234.4307098388672 395.1422424316406 352.5419616699219],0.5943350195884705,MX-79-0,0.5545227215762589
2023-11-22 19:57:04.672080,454.0,car,[7.460942801999352 33.5851371956868 844.7284688242376 633.3933281663228],[215.2046356201172 234.43212890625 395.1399841308594 352.5425720214844],0.5943485498428345,MX-79-0,0.5636509336362702
2023-11-22 19:57:05.234090,454.0,car,[-27.019232151159997 -4.359530864364729 771.390707193837 575.7531005921244],[149.24208068847656 311.7785339355469 362.0794677734375 445.6533508300781],0.3413606584072113,HTL-57-507,0.5484685796793946
2023-11-22 19:57:06.040089,454.0,car,[-32.96818456129887 -14.857422858116877 736.3886920679763 550.4199356612987],[149.2481689453125 311.75933837890625 362.1058349609375 445.62774658203125],0.3419749438762665,HTL-57-507,0.5731913645396618
2023-11-22 19:57:06.833043,454.0,car,[-29.71834798077822 -15.96889727536768 718.1000622776708 538.1100898059866],[149.24473571777344 311.75457763671875 362.1123046875 445.6263427734375],0.34224390983581543,HTL-57-507,0.5731913645396618
2023-11-22 19:57:16.664671,454.0,car,[76.03276433900544 39.38951012291432 924.6179215790173 575.8849366917532],[284.21795654296875 253.8468017578125 441.4776306152344 362.6755676269531],0.614608108997345,43J-126,0.9945096330904892
2023-11-22 19:57:17.267006,454.0,car,[82.7138372277833 50.23793015057487 931.4533104223834 631.7769512375694],[284.0006103515625 253.7194061279297 441.4725036621094 362.76593017578125],0.6147105097770691,43J-126,0.9930752500931743
2023-11-22 19:57:17.767605,454.0,car,[86.96545299979289 45.02099467174435 932.1127525725342 661.6988506193165],[284.03704833984375 253.7322235107422 441.4739685058594 362.74981689453125],0.614606499671936,43J-126,0.9949976612481719
2023-11-22 19:57:18.255047,465.0,car,[116.15465216416425 0.24412832197828038 911.2366079466592 719.5533718614795],[284.00970458984375 253.73011779785156 441.47344970703125 362.7561340332031],0.6147720217704773,43J-126,0.9949976612481719
2023-11-22 19:57:22.423643,465.0,bus,[78.09104490876962 -3.0351075285000775 918.087150492443 709.5149786021341],[244.1033935546875 231.3262481689453 420.3203430175781 355.3808288574219],0.6125614047050476,PAE-61-527,0.7448414859776078
2023-11-22 19:57:22.976730,465.0,bus,[64.07120749604962 -3.3729115944052523 897.8955311434884 704.5311263531112],[244.0861358642578 231.30523681640625 420.33026123046875 355.3973693847656],0.6129258871078491,PAE-61-527,0.7679041281862331
